headline,text,timestamp
Germany: Dozens injured at Berlin pro-Palestinian protest,Multiple injuries were reported at a pro-Palestinian demonstration in Berlin commemorating the Nakba and criticizing Israel on Thursday. Police and politicians have condemned the violence.,2025-05-17T13:00:09Z
Germany: Irregular migration drops sharply,Police figures reveal that irregular migration to Germany has dropped significantly in the last two years. The new German government has called for increased border checks.,2025-05-17T13:00:09Z
Germany aims to have 'strongest' military in Europe — Merz,"Germany's newly elected chancellor, Friedrich Merz, called for Berlin to transform its Bundeswehr into the ""strongest conventional army in Europe"" in his first major speech to parliament.",2025-05-17T13:00:09Z
Germany cracks down on immigration at border,Interior Minister Alexander Dobrindt appeared at the Austro-German border to explain the government's new tougher border controls. The new government has made immigration policy a key part of its agenda.,2025-05-17T13:00:09Z
Germany plans to suspend family reunification,The new German government has agreed to stop family members of refugees with subsidiary protection status from moving to Germany. The controversial move will particularly affect Syrian families.,2025-05-17T13:00:09Z
"Germany, UK to jointly develop long-range missiles","Germany and the United Kingdom are increasing their military cooperation, aiming to jointly develop long-range precision weapons. The aim is to protect Europe from potential attacks.",2025-05-17T13:00:09Z
German-Israeli relations: A difficult week of commemorations,"Germany and Israel established diplomatic relations 60 years ago. To commemorate the occasion, Israeli President Herzog visited Berlin and German President Steinmeier went to Jerusalem. DW's Christoph Strack was there.",2025-05-17T13:00:09Z
How should Germany deal with the far-right AfD party?,There's growing concern that German society is becoming increasingly polarized. The question of how to treat the AfD party threatens to further deepen the divide.,2025-05-17T13:00:09Z
Fact check: Germany's AfD no longer 'right-wing extremist'?,"The AfD and its supporters claim that Germany's domestic intelligence agency no longer classifies the party as ""right-wing extremist."" The facts, however, tell a different story.",2025-05-17T13:00:09Z
80 years after WWII: Is the US turning its back on Europe?,"World War Two ended in Europe 80 years ago. Since then, the US has ensured security in Europe. But Donald Trump is now calling this arrangement into question.",2025-05-17T13:00:09Z
SIPRI arms report: New record in global military spending,"Global military spending reached a new high in 2024. Germany, too, spent significantly more on defense.",2025-05-17T13:00:09Z
Syrian doctors leave Germany to work for free at home,"After working in Germany, Syrian doctors are returning to their homeland to help rebuild Syria's shattered health system. German hospitals worry they won't return.",2025-05-17T13:00:09Z
Data Privacy Policy,The protection of your personal data is very important to us at Deutsche Welle. We want you to feel safe when using our websites. We explain here what data we collect and how we use it.,2025-05-17T13:00:09Z
Legal notice,Deutsche Welle,2025-05-17T13:00:09Z
Accessibility statement,Declaration on Digital Accessibility on DW.com,2025-05-17T13:00:09Z
